Trial,PlateID,Day,HTST_Temp,Storage_Temp,Raw_APC,LPC,MSC,MSC_Spread%,PSC_10,PSC_21,PI,APC,CVTA,pH,Particle_Size,Coagulated,IsoID,Genus,Species,AT,Hypothesis,DayInt_SPC
1,75C DI SPC1,0,75,3,,,,,,,,160,N,,,,,,,,,160
1,75C DI SPC,0,75,3,,,,,,,,0,N,,,,,,,,,0
1,85C DI SPC3,0,85,3,,,,,,,,40,N,,,,,,,,,40
1,85C DI SPC2,0,85,3,,,,,,,,80,N,,,,,,,,,80
1,90C DI SPC5,0,90,3,,,,,,,,60,N,,,,,,,,,60
1,90C DI SPC4,0,90,3,,,,,,,,40,N,,,,,,,,,40
1,75C DI SPC1,0,75,6.5,,,,,,,,160,N,,,,,,,,,160
1,75C DI SPC,0,75,6.5,,,,,,,,0,N,,,,,,,,,0
1,85C DI SPC3,0,85,6.5,,,,,,,,40,N,,,,,,,,,40
1,85C DI SPC2,0,85,6.5,,,,,,,,80,N,,,,,,,,,80
1,90C DI SPC5,0,90,6.5,,,,,,,,60,N,,,,,,,,,60
1,90C DI SPC4,0,90,6.5,,,,,,,,40,N,,,,,,,,,40
1,75C DI SPC1,0,75,10,,,,,,,,160,N,,,,,,,,,160
1,75C DI SPC,0,75,10,,,,,,,,0,N,,,,,,,,,0
1,85C DI SPC3,0,85,10,,,,,,,,40,N,,,,,,,,,40
1,85C DI SPC2,0,85,10,,,,,,,,80,N,,,,,,,,,80
1,90C DI SPC5,0,90,10,,,,,,,,60,N,,,,,,,,,60
1,90C DI SPC4,0,90,10,,,,,,,,40,N,,,,,,,,,40
1,75C S3C D7 SPC7,7,75,3,,,,,,,,80,N,,,,,,,,,160
1,75C S3C D7 SPC6,7,75,3,,,,,,,,80,N,,,,,,,,,0
1,85C S3C D7 SPC9,7,85,3,,,,,,,,40,N,,,,,,,,,40
1,85C S3C D7 SPC8,7,85,3,,,,,,,,20,N,,,,,,,,,80
1,90C S3C D7 SPC11,7,90,3,,,,,,,,40,N,,,,,,,,,60
1,90C S3C D7 SPC10,7,90,3,,,,,,,,160,N,,,,,,,,,40
1,75C S6.5C D7 SPC5,7,75,6.5,,,,,,,,60,N,,,,,,,,,160
1,75C S6.5C D7 SPC4,7,75,6.5,,,,,,,,80,N,,,,,,,,,0
1,85C S6.5C D7 SPC3,7,85,6.5,,,,,,,,60,N,,,,,,,,,40
1,85C S6.5C D7 SPC2,7,85,6.5,,,,,,,,140,N,,,,,,,,,80
